,time,N,TD,CH,MREG,AC
163,1.63000,2.13600,10.26831,0.26425,0.16282,0.00823
164,1.64000,2.14765,10.27091,0.26732,0.16463,0.00837
165,1.65000,2.15929,10.27352,0.27040,0.16646,0.00851
166,1.66000,2.17091,10.27613,0.27350,0.16829,0.00865
167,1.67000,2.18252,10.27875,0.27661,0.17013,0.00879
168,1.68000,2.19412,10.28136,0.27974,0.17197,0.00894
169,1.69000,2.20570,10.28399,0.28289,0.17383,0.00908
170,1.70000,2.21728,10.28661,0.28605,0.17569,0.00923
171,1.71000,2.22883,10.28924,0.28922,0.17756,0.00938
172,1.72000,2.24038,10.29187,0.29241,0.17944,0.00953
173,1.73000,2.25191,10.29451,0.29562,0.18132,0.00968
174,1.74000,2.26343,10.29715,0.29884,0.18321,0.00983
175,1.75000,2.27494,10.29979,0.30208,0.18511,0.00999
176,1.76000,2.28643,10.30243,0.30533,0.18702,0.01014
177,1.77000,2.29792,10.30508,0.30860,0.18894,0.01030
178,1.78000,2.30939,10.30773,0.31188,0.19086,0.01046
179,1.79000,2.32084,10.31038,0.31518,0.19279,0.01062
180,1.80000,2.33229,10.31304,0.31849,0.19473,0.01078
181,1.81000,2.34372,10.31570,0.32182,0.19668,0.01094
182,1.82000,2.35514,10.31836,0.32516,0.19863,0.01111
183,1.83000,2.36655,10.32102,0.32852,0.20060,0.01128
184,1.84000,2.37794,10.32368,0.33189,0.20257,0.01144
185,1.85000,2.38933,10.32635,0.33528,0.20454,0.01161
186,1.86000,2.40070,10.32901,0.33868,0.20653,0.01178
187,1.87000,2.41206,10.33168,0.34210,0.20852,0.01195
188,1.88000,2.42341,10.33435,0.34553,0.21052,0.01213
189,1.89000,2.43474,10.33703,0.34898,0.21252,0.01230
190,1.90000,2.44607,10.33970,0.35244,0.21453,0.01248
191,1.91000,2.45738,10.34237,0.35592,0.21656,0.01266
192,1.92000,2.46868,10.34505,0.35941,0.21858,0.01284
193,1.93000,2.47997,10.34773,0.36292,0.22062,0.01302
194,1.94000,2.49124,10.35040,0.36644,0.22266,0.01320
195,1.95000,2.50251,10.35308,0.36998,0.22471,0.01338
196,1.96000,2.51376,10.35576,0.37353,0.22677,0.01357
197,1.97000,2.52500,10.35844,0.37710,0.22883,0.01376
198,1.98000,2.53624,10.36112,0.38068,0.23090,0.01394
199,1.99000,2.54746,10.36380,0.38427,0.23298,0.01413
200,2.00000,2.55866,10.36648,0.38788,0.23506,0.01432
201,2.01000,2.56986,10.36916,0.39150,0.23716,0.01452
202,2.02000,2.58105,10.37184,0.39514,0.23926,0.01471
203,2.03000,2.59222,10.37452,0.39880,0.24136,0.01491
204,2.04000,2.60338,10.37720,0.40246,0.24347,0.01511
205,2.05000,2.61454,10.37988,0.40615,0.24559,0.01530
206,2.06000,2.62568,10.38256,0.40984,0.24772,0.01550
207,2.07000,2.63681,10.38524,0.41355,0.24986,0.01571
208,2.08000,2.64793,10.38792,0.41728,0.25200,0.01591
209,2.09000,2.65904,10.39060,0.42102,0.25414,0.01612
210,2.10000,2.67013,10.39327,0.42477,0.25630,0.01632
211,2.11000,2.68122,10.39595,0.42854,0.25846,0.01653
212,2.12000,2.69230,10.39863,0.43232,0.26063,0.01674
213,2.13000,2.70336,10.40130,0.43611,0.26280,0.01695
214,2.14000,2.71442,10.40397,0.43992,0.26498,0.01716
215,2.15000,2.72546,10.40664,0.44375,0.26717,0.01738
216,2.16000,2.73650,10.40931,0.44759,0.26936,0.01759
217,2.17000,2.74752,10.41198,0.45144,0.27156,0.01781
218,2.18000,2.75853,10.41465,0.45530,0.27377,0.01803
219,2.19000,2.76953,10.41731,0.45918,0.27599,0.01825
220,2.20000,2.78053,10.41998,0.46308,0.27821,0.01847
221,2.21000,2.79151,10.42264,0.46699,0.28043,0.01870
222,2.22000,2.80248,10.42530,0.47091,0.28267,0.01892
223,2.23000,2.81344,10.42795,0.47484,0.28491,0.01915
224,2.24000,2.82439,10.43061,0.47879,0.28716,0.01938
225,2.25000,2.83533,10.43326,0.48276,0.28941,0.01961
226,2.26000,2.84626,10.43591,0.48673,0.29167,0.01984
227,2.27000,2.85718,10.43856,0.49073,0.29394,0.02007
228,2.28000,2.86809,10.44120,0.49473,0.29621,0.02030
229,2.29000,2.87899,10.44384,0.49875,0.29849,0.02054
230,2.30000,2.88988,10.44648,0.50278,0.30077,0.02078
231,2.31000,2.90076,10.44912,0.50683,0.30306,0.02102
232,2.32000,2.91163,10.45175,0.51089,0.30536,0.02126
233,2.33000,2.92249,10.45438,0.51496,0.30766,0.02150
234,2.34000,2.93334,10.45701,0.51904,0.30998,0.02174
235,2.35000,2.94418,10.45963,0.52314,0.31229,0.02199
236,2.36000,2.95501,10.46225,0.52726,0.31461,0.02224
237,2.37000,2.96584,10.46487,0.53139,0.31694,0.02249
238,2.38000,2.97665,10.46748,0.53553,0.31928,0.02274
239,2.39000,2.98745,10.47009,0.53968,0.32162,0.02299
240,2.40000,2.99824,10.47270,0.54385,0.32397,0.02324
241,2.41000,3.00903,10.47530,0.54803,0.32632,0.02350
242,2.42000,3.01980,10.47790,0.55222,0.32868,0.02375
243,2.43000,3.03056,10.48049,0.55643,0.33104,0.02401
244,2.44000,3.04132,10.48308,0.56065,0.33342,0.02427
245,2.45000,3.05206,10.48567,0.56488,0.33579,0.02453
246,2.46000,3.06280,10.48825,0.56913,0.33818,0.02480
