,time,N,TD,CH
401,4.01000,3.47427,10.72439,0.63471
402,4.02000,3.48216,10.72787,0.63755
403,4.03000,3.49004,10.73135,0.64040
404,4.04000,3.49792,10.73485,0.64325
405,4.05000,3.50580,10.73835,0.64611
406,4.06000,3.51368,10.74186,0.64897
407,4.07000,3.52155,10.74538,0.65184
408,4.08000,3.52943,10.74890,0.65471
409,4.09000,3.53730,10.75244,0.65759
410,4.10000,3.54517,10.75598,0.66047
411,4.11000,3.55305,10.75953,0.66336
412,4.12000,3.56091,10.76308,0.66625
413,4.13000,3.56878,10.76665,0.66915
414,4.14000,3.57665,10.77022,0.67205
415,4.15000,3.58451,10.77380,0.67495
416,4.16000,3.59238,10.77739,0.67787
417,4.17000,3.60024,10.78099,0.68078
418,4.18000,3.60810,10.78459,0.68371
419,4.19000,3.61596,10.78820,0.68663
420,4.20000,3.62382,10.79182,0.68956
421,4.21000,3.63167,10.79545,0.69250
422,4.22000,3.63953,10.79909,0.69544
423,4.23000,3.64738,10.80273,0.69839
424,4.24000,3.65524,10.80638,0.70134
425,4.25000,3.66309,10.81004,0.70430
426,4.26000,3.67094,10.81371,0.70726
427,4.27000,3.67879,10.81738,0.71022
428,4.28000,3.68664,10.82106,0.71320
429,4.29000,3.69448,10.82475,0.71617
430,4.30000,3.70233,10.82845,0.71915
431,4.31000,3.71018,10.83216,0.72214
432,4.32000,3.71802,10.83587,0.72513
433,4.33000,3.72586,10.83960,0.72812
434,4.34000,3.73370,10.84333,0.73112
435,4.35000,3.74154,10.84706,0.73413
436,4.36000,3.74938,10.85081,0.73714
437,4.37000,3.75722,10.85456,0.74015
438,4.38000,3.76506,10.85832,0.74317
439,4.39000,3.77289,10.86209,0.74620
440,4.40000,3.78073,10.86587,0.74923
441,4.41000,3.78856,10.86965,0.75226
442,4.42000,3.79639,10.87345,0.75530
443,4.43000,3.80423,10.87725,0.75834
444,4.44000,3.81206,10.88105,0.76139
445,4.45000,3.81989,10.88487,0.76444
446,4.46000,3.82772,10.88869,0.76750
447,4.47000,3.83554,10.89253,0.77056
448,4.48000,3.84337,10.89637,0.77363
449,4.49000,3.85120,10.90021,0.77670
450,4.50000,3.85902,10.90407,0.77978
451,4.51000,3.86685,10.90793,0.78286
452,4.52000,3.87467,10.91180,0.78595
453,4.53000,3.88249,10.91568,0.78904
454,4.54000,3.89031,10.91957,0.79213
455,4.55000,3.89814,10.92346,0.79524
456,4.56000,3.90596,10.92736,0.79834
457,4.57000,3.91378,10.93127,0.80145
458,4.58000,3.92159,10.93519,0.80457
459,4.59000,3.92941,10.93912,0.80768
460,4.60000,3.93723,10.94305,0.81081
461,4.61000,3.94505,10.94699,0.81394
462,4.62000,3.95286,10.95094,0.81707
463,4.63000,3.96068,10.95490,0.82021
464,4.64000,3.96849,10.95886,0.82335
465,4.65000,3.97630,10.96283,0.82650
466,4.66000,3.98412,10.96681,0.82965
467,4.67000,3.99193,10.97080,0.83281
468,4.68000,3.99974,10.97480,0.83597
469,4.69000,4.00755,10.97880,0.83914
